"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Delete Exercise","tests.test_exercise","2026-06-16","passed","2026-06-16","TestExercises","test_exercise","",""
"","302","Get File with incorrect file id","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","627","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","20","Update Exercise","tests.test_exercise","2026-06-16","passed","2026-06-16","TestExercises","test_exercise","",""
"","19","Update Course","tests.test_courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","324","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","630","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","317","Get Courses","tests.test_courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","294","Create File with empty directory","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","612","Login user","tests.test_authentication","2026-06-16","passed","2026-06-16","TestAuthentication","test_authentication","",""
"","318","Get Exercise","tests.test_exercise","2026-06-16","passed","2026-06-16","TestExercises","test_exercise","",""
"","13","Create File","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","8","Get File","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","341","Delete File","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","8","Get user me","LMS service","2026-06-16","passed","2026-06-16","TestUsersMe","Users","",""
"","348","Delete Courses","tests.test_courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","20","Create Exercise","tests.test_exercise","2026-06-16","passed","2026-06-16","TestExercises","test_exercise","",""
"","15","Get Exercises","tests.test_exercise","2026-06-16","passed","2026-06-16","TestExercises","test_exercise","",""
"","17","Create File with empty filename","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
